Metric,weight_class,red_fid,blue_fid,rounds,bout_month,bout_day,bout_year,is_title_bout,last_round
count,5807.0,5807.0,5807.0,5807.0,5807.0,5807.0,5807.0,5807.0,5807.0
mean,171.49733080764594,1768.4332701911487,1779.9111417255037,3.1463750645772346,6.684863096263131,15.496814189770966,2013.7210263475117,0.050111933872912004,2.3402789736524885
std,38.65773595537162,1025.5891169663682,1029.1655911519865,0.6157846201670405,3.45597027353346,8.53431898843532,5.047211872817441,0.2181946986002209,1.0040915905236418
min,115.0,1.0,1.0,1.0,1.0,1.0,1997.0,0.0,1.0
25%,145.0,869.5,870.5,3.0,4.0,8.0,2011.0,0.0,1.0
50%,170.0,1805.0,1784.0,3.0,7.0,16.0,2015.0,0.0,3.0
75%,185.0,2629.0,2665.0,3.0,10.0,22.0,2018.0,0.0,3.0
max,265.0,3591.0,3594.0,5.0,12.0,31.0,2021.0,1.0,5.0
n_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
missing_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_unique,9.0,1479.0,1906.0,4.0,12.0,31.0,25.0,2.0,5.0
unique_pct,0.0015498536249354228,0.2546926123643878,0.3282245565696573,0.0006888238333046323,0.002066471499913897,0.0053383847081109005,0.004305148958153952,0.00034441191665231615,0.0008610297916307905
